ID_Venda;Data;ID_Produto;ID_Cliente;Qtd
10120;2023-07-10 00:00:00;P-005;15;1
10121;2023-09-10 00:00:00;P-009;14;3
10122;10/06/2023;P-017;39;1
10123;2023-09-13 00:00:00;P-016;63;3
10124;19/11/2023;P-008;5;2
10125;08/05/2023;P-017;90;2
10126;18/01/2023; P-015 ;81;4
10127;2023-10-08 00:00:00;P-001;52;2
10128;2023-08-11 00:00:00;P-012;16;4
10129;2023-02-23 00:00:00;P-005;99;3
10130;2023-02-27 00:00:00;P-006;38;1
10131;2023-11-19 00:00:00;P-001;53;2
10132;26/12/2023;P-001;87;1
10133;23/06/2023;P-010;77;4
10134;07/10/2023; P-010 ;97;3
10135;2023-04-24 00:00:00;P-003;93;2
10136;2023-10-15 00:00:00;P-017;53;1
10137;2023-12-08 00:00:00;P-019;46;4
10138;2023-05-31 00:00:00;P-011;98;1
10139;2023-05-07 00:00:00;P-018;98;2
10140;2023-06-04 00:00:00;P-002;91;1
10141;2023-09-30 00:00:00;P-009;15;3
10142;14/04/2023; P-017 ;59;2
10143;26/10/2023;P-014;50;4
10144;2023-09-03 00:00:00;P-004;9;2
10145;25/06/2023;P-017;26;4
10146;2023-02-08 00:00:00; P-017 ;3;4
10147;2023-06-19 00:00:00; P-012 ;100;2
10148;04/09/2023;P-020;47;4
10149;26/01/2023;P-018;5;2
10150;21/12/2023; P-003 ;62;3
10151;02/11/2023; P-011 ;84;3
10152;2023-01-13 00:00:00;P-018;84;1
10153;12/11/2023;P-004;5;3
10154;2023-11-09 00:00:00;P-017;10;4
10155;2023-02-05 00:00:00;P-018;80;1
10156;2023-06-22 00:00:00;P-005;63;1
10157;2023-01-20 00:00:00; P-014 ;25;2
10158;17/11/2023;P-010;44;1
10159;2023-09-21 00:00:00;P-015;25;2
10160;2023-05-22 00:00:00; P-001 ;30;1
10161;23/05/2023; P-016 ;14;3
10162;2023-04-02 00:00:00; P-011 ;86;2
10163;20/12/2023;P-020;43;4
10164;2023-11-18 00:00:00;P-006;28;1
10165;15/10/2023;P-016;94;3
10166;2023-08-03 00:00:00;P-002;19;3
10167;08/12/2023;P-001;42;2
10168;2023-02-20 00:00:00;P-009;20;2
10169;02/06/2023;P-012;99;2
10170;2023-07-05 00:00:00;P-017;86;4
10171;2023-03-04 00:00:00; P-015 ;79;4
10172;2023-07-09 00:00:00;P-019;11;4
10173;2023-05-05 00:00:00;P-010;54;1
10174;30/05/2023;P-012;98;4
10175;2023-11-10 00:00:00;P-014;24;2
10176;2023-02-27 00:00:00;P-009;70;3
10177;08/12/2023;P-013;17;3
10178;01/11/2023;P-003;28;2
10179;2023-06-29 00:00:00;P-014;50;4
10180;2023-06-19 00:00:00;P-010;95;4
10181;2023-11-22 00:00:00;P-016;100;2
10182;28/09/2023;P-007;55;3
10183;2023-02-23 00:00:00;P-004;73;1
10184;11/04/2023;P-020;10;3
10185;2023-09-21 00:00:00;P-011;21;4
10186;2023-02-22 00:00:00;P-016;58;3
10187;2023-03-01 00:00:00; P-020 ;34;4
10188;2023-04-18 00:00:00;P-004;95;3
10189;05/01/2023;P-017;93;2
10190;2023-04-13 00:00:00; P-013 ;43;4
10191;2023-07-15 00:00:00;P-011;11;1
10192;19/09/2023;P-003;33;1
10193;2023-12-31 00:00:00; P-009 ;58;2
10194;2023-12-16 00:00:00;P-006;46;3
10195;2023-02-16 00:00:00; P-011 ;61;2
10196;2023-12-21 00:00:00;P-016;62;2
10197;2023-11-07 00:00:00;P-019;1;1
10198;2023-11-04 00:00:00;P-005;21;1
10199;2023-05-24 00:00:00;P-014;62;4
10200;2023-09-26 00:00:00; P-017 ;64;4
10201;2023-05-04 00:00:00;P-003;87;4
10202;2023-04-16 00:00:00;P-004;73;2
10203;2023-06-07 00:00:00; P-016 ;56;2
10204;2023-05-27 00:00:00;P-016;1;4
10205;2023-05-25 00:00:00; P-004 ;21;1
10206;2023-04-30 00:00:00;P-019;22;1
10207;15/11/2023; P-017 ;54;3
10208;02/10/2023; P-013 ;4;4
10209;2023-04-02 00:00:00;P-001;65;2
10210;27/02/2023; P-012 ;51;3
10211;2023-12-12 00:00:00;P-004;74;3
10212;2023-08-17 00:00:00;P-011;63;3
10213;2023-04-27 00:00:00;P-005;15;4
10214;14/11/2023; P-002 ;36;4
10215;2023-10-06 00:00:00;P-017;29;4
10216;07/05/2023;P-008;52;1
10217;2023-05-09 00:00:00; P-006 ;46;3
10218;2023-02-27 00:00:00;P-009;69;1
10219;02/05/2023;P-013;29;4
10220;2023-01-01 00:00:00;P-011;47;1
10221;2023-08-27 00:00:00;P-016;91;1
10222;2023-10-17 00:00:00;P-016;25;2
10223;06/04/2023;P-002;80;4
10224;06/05/2023;P-010;16;3
10225;2023-04-28 00:00:00;P-012;100;4
10226;2023-02-17 00:00:00;P-008;89;1
10227;30/03/2023; P-011 ;41;4
10228;2023-08-25 00:00:00;P-010;65;4
10229;2023-09-29 00:00:00;P-013;69;2
10230;2023-07-08 00:00:00;P-017;20;2
10231;2023-07-11 00:00:00;P-007;69;4
10232;2023-03-10 00:00:00; P-003 ;36;2
10233;2023-10-05 00:00:00; P-020 ;93;1
10234;15/12/2023;P-013;98;1
10235;2023-09-04 00:00:00;P-019;58;1
10236;2023-03-17 00:00:00;P-007;48;2
10237;03/06/2023;P-009;82;4
10238;2023-05-24 00:00:00; P-019 ;2;1
10239;2023-03-27 00:00:00; P-013 ;80;3
10240;2023-07-04 00:00:00;P-008;29;1
10241;2023-10-12 00:00:00;P-018;97;4
10242;08/08/2023;P-002;16;1
10243;10/03/2023;P-018;35;3
10244;16/02/2023;P-018;62;1
10245;04/04/2023;P-011;81;1
10246;2023-08-26 00:00:00;P-001;4;4
10247;2023-07-23 00:00:00;P-014;68;1
10248;2023-08-06 00:00:00; P-016 ;51;1
10249;2023-12-07 00:00:00;P-011;89;2
10250;2023-02-08 00:00:00; P-001 ;33;4
10251;2023-04-10 00:00:00;P-007;78;4
10252;2023-10-16 00:00:00;P-016;24;4
10253;2023-09-11 00:00:00; P-014 ;75;4
10254;2023-08-10 00:00:00;P-015;25;1
10255;2023-12-23 00:00:00;P-014;28;3
10256;2023-01-23 00:00:00;P-011;7;3
10257;2023-09-07 00:00:00;P-016;36;2
10258;2023-01-10 00:00:00;P-019;10;1
10259;2023-09-03 00:00:00;P-017;36;4
10260;2023-11-21 00:00:00; P-006 ;95;4
10261;10/04/2023;P-011;83;3
10262;2023-10-17 00:00:00;P-017;18;2
10263;2023-06-29 00:00:00;P-009;6;1
10264;2023-08-11 00:00:00;P-018;92;2
10265;2023-09-07 00:00:00;P-017;7;1
10266;2023-05-27 00:00:00;P-012;12;2
10267;2023-04-06 00:00:00;P-005;41;2
10268;14/09/2023;P-011;63;4
10269;2023-11-21 00:00:00;P-004;98;3
10270;2023-01-04 00:00:00;P-004;25;4
10271;2023-01-16 00:00:00; P-003 ;81;3
10272;2023-10-07 00:00:00; P-017 ;53;2
10273;2023-12-02 00:00:00;P-007;33;1
10274;2023-09-04 00:00:00;P-004;87;4
10275;15/09/2023;P-013;73;1
10276;2023-06-09 00:00:00;P-012;6;4
10277;2023-12-06 00:00:00;P-001;62;4
10278;2023-06-01 00:00:00;P-019;66;4
10279;2023-06-27 00:00:00;P-020;9;1
10280;2023-06-12 00:00:00;P-018;67;4
10281;02/02/2023;P-011;16;4
10282;2023-06-28 00:00:00;P-020;89;4
10283;2023-04-11 00:00:00;P-003;88;1
10284;2023-09-25 00:00:00;P-017;93;4
10285;2023-11-19 00:00:00;P-012;55;1
10286;2023-03-06 00:00:00;P-010;40;3
10287;2023-06-17 00:00:00;P-008;26;4
10288;2023-11-26 00:00:00;P-015;38;2
10289;2023-02-12 00:00:00;P-005;35;3
10290;2023-02-13 00:00:00; P-004 ;87;1
10291;12/10/2023;P-020;68;2
10292;2023-01-12 00:00:00;P-019;59;1
10293;2023-04-05 00:00:00;P-004;14;1
10294;2023-10-29 00:00:00;P-015;47;4
10295;2023-09-10 00:00:00;P-017;71;2
10296;30/08/2023;P-012;72;1
10297;04/02/2023;P-003;42;3
10298;2023-08-03 00:00:00; P-010 ;51;4
10299;2023-12-03 00:00:00;P-015;19;3
10300;2023-03-31 00:00:00;P-010;66;3
10301;2023-09-21 00:00:00; P-018 ;47;4
10302;2023-04-03 00:00:00;P-001;65;1
10303;2023-03-31 00:00:00; P-003 ;42;3
10304;25/04/2023;P-012;38;1
10305;2023-04-15 00:00:00; P-001 ;13;1
10306;2023-07-15 00:00:00;P-003;44;4
10307;2023-11-10 00:00:00;P-003;24;3
10308;2023-04-24 00:00:00;P-005;96;3
10309;2023-03-16 00:00:00;P-019;30;4
10310;05/08/2023;P-001;70;1
10311;04/10/2023;P-004;38;1
10312;2023-09-06 00:00:00;P-004;97;4
10313;2023-06-13 00:00:00;P-017;23;1
10314;23/12/2023;P-014;74;1
10315;11/07/2023;P-018;57;3
10316;2023-08-15 00:00:00;P-001;79;1
10317;2023-06-26 00:00:00;P-016;23;1
10318;2023-04-09 00:00:00;P-003;36;1
10319;2023-02-05 00:00:00;P-009;57;1
10320;2023-04-06 00:00:00;P-004;1;4
10321;2023-06-01 00:00:00; P-005 ;72;4
10322;2023-05-31 00:00:00;P-011;3;4
10323;09/07/2023;P-009;14;1
10324;2023-08-12 00:00:00;P-003;81;4
10325;2023-02-06 00:00:00;P-006;34;2
10326;2023-09-25 00:00:00;P-011;70;2
10327;2023-07-02 00:00:00;P-009;69;2
10328;2023-01-13 00:00:00;P-015;51;3
10329;2023-10-06 00:00:00;P-003;29;1
10330;2023-08-05 00:00:00;P-001;99;3
10331;2023-12-21 00:00:00;P-020;82;4
10332;2023-12-27 00:00:00; P-019 ;48;1
10333;2023-10-13 00:00:00; P-014 ;94;2
10334;2023-09-30 00:00:00; P-017 ;79;1
10335;2023-03-03 00:00:00;P-014;79;3
10336;2023-03-25 00:00:00;P-017;16;4
10337;2023-08-05 00:00:00;P-014;57;4
10338;2023-12-08 00:00:00;P-012;97;3
10339;06/07/2023;P-016;10;1
10340;19/01/2023; P-001 ;19;3
10341;2023-06-26 00:00:00;P-013;67;4
10342;2023-04-10 00:00:00; P-006 ;36;2
10343;2023-08-21 00:00:00;P-017;4;4
10344;17/03/2023;P-012;75;4
10345;22/09/2023; P-019 ;33;1
10346;2023-10-11 00:00:00;P-006;28;2
10347;2023-07-25 00:00:00;P-007;96;4
10348;2023-08-11 00:00:00; P-001 ;80;2
10349;2023-02-21 00:00:00;P-001;9;3
10350;05/12/2023;P-005;75;1
10351;2023-05-24 00:00:00;P-006;6;2
10352;2023-03-10 00:00:00; P-016 ;49;2
10353;2023-04-09 00:00:00; P-016 ;91;1
10354;2023-01-25 00:00:00;P-014;76;3
10355;2023-02-22 00:00:00; P-001 ;22;2
10356;31/05/2023;P-013;48;1
10357;2023-05-24 00:00:00; P-020 ;21;4
10358;2023-02-26 00:00:00; P-010 ;33;1
10359;2023-02-08 00:00:00;P-010;81;4
10360;19/04/2023; P-009 ;56;2
10361;2023-06-30 00:00:00;P-013;29;2
10362;2023-02-11 00:00:00; P-003 ;53;2
10363;2023-07-05 00:00:00;P-018;40;3
10364;2023-08-11 00:00:00;P-020;74;3
10365;02/05/2023;P-002;18;4
10366;13/05/2023;P-017;47;1
10367;2023-06-12 00:00:00;P-019;13;4
10368;03/08/2023;P-013;27;1
10369;09/08/2023;P-013;62;2
10370;2023-08-23 00:00:00;P-001;74;1
10371;2023-11-27 00:00:00;P-002;96;3
10372;2023-05-26 00:00:00;P-001;45;1
10373;2023-08-27 00:00:00;P-005;3;1
10374;17/03/2023;P-003;22;2
10375;09/01/2023;P-007;27;2
10376;15/03/2023;P-013;55;3
10377;2023-09-10 00:00:00;P-018;67;1
10378;2023-08-18 00:00:00;P-007;33;1
10379;07/01/2023;P-001;2;1
10380;2023-06-23 00:00:00;P-005;75;2
10381;21/05/2023;P-017;46;3
10382;2023-06-17 00:00:00;P-008;74;1
10383;19/06/2023;P-015;33;1
10384;2023-10-10 00:00:00;P-020;58;1
10385;2023-05-02 00:00:00; P-004 ;7;1
10386;2023-07-13 00:00:00; P-002 ;15;3
10387;2023-01-05 00:00:00;P-005;26;3
10388;2023-01-29 00:00:00;P-001;11;3
10389;14/06/2023;P-005;38;2
10390;2023-12-05 00:00:00;P-006;27;1
10391;2023-05-16 00:00:00;P-002;7;1
10392;2023-12-31 00:00:00;P-001;1;1
10393;2023-11-17 00:00:00; P-004 ;74;1
10394;2023-12-08 00:00:00;P-007;21;4
10395;2023-05-25 00:00:00;P-001;79;3
10396;23/11/2023;P-001;30;4
10397;05/08/2023;P-008;94;4
10398;28/10/2023;P-020;8;2
10399;12/05/2023; P-016 ;88;2
10400;2023-10-19 00:00:00;P-013;83;1
10401;2023-03-11 00:00:00;P-018;3;4
10402;2023-09-09 00:00:00;P-020;55;4
10403;2023-10-02 00:00:00;P-010;15;3
10404;2023-12-30 00:00:00; P-012 ;36;4
10405;2023-07-01 00:00:00;P-001;6;2
10406;16/06/2023;P-010;42;4
10407;01/04/2023; P-009 ;50;2
10408;21/07/2023; P-003 ;18;1
10409;2023-12-12 00:00:00;P-019;83;2
10410;2023-01-19 00:00:00;P-009;50;1
10411;08/02/2023;P-010;30;3
10412;06/05/2023;P-019;77;1
10413;22/06/2023;P-016;39;4
10414;2023-05-21 00:00:00;P-018;12;2
10415;2023-08-30 00:00:00;P-014;98;1
10416;2023-08-08 00:00:00;P-003;59;1
10417;2023-05-06 00:00:00;P-002;76;1
10418;2023-02-27 00:00:00; P-001 ;44;1
10419;2023-05-28 00:00:00;P-018;88;1
10420;2023-11-13 00:00:00;P-009;4;1
10421;2023-12-27 00:00:00;P-013;36;2
10422;01/01/2023;P-002;48;4
10423;2023-12-14 00:00:00;P-007;14;4
10424;2023-07-09 00:00:00;P-016;81;1
10425;10/07/2023; P-019 ;49;2
10426;2023-11-08 00:00:00;P-015;67;1
10427;27/04/2023;P-011;87;3
10428;2023-05-14 00:00:00;P-001;77;4
10429;27/02/2023;P-007;9;1
10430;2023-02-13 00:00:00;P-020;21;2
10431;2023-06-22 00:00:00;P-008;72;4
10432;2023-06-09 00:00:00;P-010;81;2
10433;2023-06-22 00:00:00;P-005;16;3
10434;2023-11-13 00:00:00;P-009;16;1
10435;2023-10-30 00:00:00;P-001;28;3
10436;29/05/2023; P-002 ;51;4
10437;2023-03-21 00:00:00;P-019;56;1
10438;01/08/2023;P-014;80;4
10439;2023-07-22 00:00:00;P-020;57;1
10440;09/09/2023; P-010 ;52;2
10441;17/08/2023;P-009;46;4
10442;2023-06-13 00:00:00;P-010;78;3
10443;2023-08-15 00:00:00;P-006;38;3
10444;2023-05-27 00:00:00;P-017;84;2
10445;2023-01-20 00:00:00; P-006 ;48;2
10446;2023-02-16 00:00:00;P-004;41;3
10447;21/08/2023; P-020 ;98;2
10448;2023-11-01 00:00:00;P-003;59;1
10449;2023-01-14 00:00:00;P-019;93;3
10450;2023-05-23 00:00:00;P-018;67;4
10451;2023-01-01 00:00:00;P-004;74;3
10452;2023-02-23 00:00:00;P-008;84;2
10453;2023-09-16 00:00:00;P-017;66;1
10454;24/05/2023;P-005;27;4
10455;2023-01-12 00:00:00;P-013;32;3
10456;26/11/2023;P-001;56;3
10457;2023-08-12 00:00:00;P-013;10;4
10458;2023-09-29 00:00:00;P-004;40;1
10459;2023-12-24 00:00:00;P-014;17;2
10460;2023-06-05 00:00:00; P-003 ;58;2
10461;2023-01-08 00:00:00;P-005;97;2
10462;2023-05-02 00:00:00; P-007 ;6;2
10463;14/12/2023;P-001;39;4
10464;2023-06-13 00:00:00;P-012;18;1
10465;2023-03-31 00:00:00;P-011;73;1
10466;2023-05-16 00:00:00;P-008;72;3
10467;2023-07-05 00:00:00;P-006;89;3
10468;12/11/2023;P-002;95;1
10469;27/06/2023;P-019;42;3
10470;2023-01-28 00:00:00; P-020 ;4;1
10471;2023-08-08 00:00:00;P-020;20;4
10472;2023-12-23 00:00:00;P-014;28;4
10473;2023-02-10 00:00:00;P-001;40;2
10474;2023-08-16 00:00:00; P-010 ;65;1
10475;2023-07-11 00:00:00;P-016;44;4
10476;2023-05-25 00:00:00;P-004;23;1
10477;2023-07-20 00:00:00;P-011;57;3
10478;2023-07-31 00:00:00;P-016;47;1
10479;08/08/2023; P-020 ;13;2
10480;28/08/2023; P-001 ;16;2
10481;2023-02-15 00:00:00; P-016 ;90;4
10482;2023-02-04 00:00:00; P-019 ;55;3
10483;2023-09-10 00:00:00;P-009;95;3
10484;23/03/2023;P-009;65;1
10485;2023-09-13 00:00:00;P-009;81;3
10486;2023-07-16 00:00:00;P-017;16;2
10487;30/10/2023; P-012 ;37;4
10488;10/01/2023;P-013;52;4
10489;08/11/2023;P-008;10;4
10490;2023-10-13 00:00:00;P-016;38;3
10491;2023-08-30 00:00:00; P-018 ;44;3
10492;2023-09-08 00:00:00;P-001;95;2
10493;2023-12-31 00:00:00; P-001 ;74;1
10494;2023-01-05 00:00:00;P-012;54;1
10495;2023-04-29 00:00:00;P-006;98;4
10496;2023-10-16 00:00:00; P-009 ;51;4
10497;2023-03-06 00:00:00;P-005;52;3
10498;26/05/2023; P-016 ;70;4
10499;2023-08-12 00:00:00;P-018;92;2
10500;2023-08-27 00:00:00;P-017;92;2
10501;2023-06-26 00:00:00; P-018 ;59;4
10502;24/09/2023;P-001;13;4
10503;07/12/2023;P-019;41;4
10504;2023-10-09 00:00:00;P-008;12;4
10505;2023-03-04 00:00:00; P-003 ;50;4
10506;2023-08-05 00:00:00; P-005 ;57;2
10507;2023-12-08 00:00:00;P-008;50;1
10508;11/11/2023;P-019;57;2
10509;10/10/2023; P-018 ;54;2
10510;2023-06-26 00:00:00;P-018;66;4
10511;2023-04-08 00:00:00;P-001;8;1
10512;15/04/2023;P-015;63;4
10513;2023-04-09 00:00:00;P-018;9;2
10514;07/11/2023;P-007;60;1
10515;06/01/2023;P-016;63;3
10516;2023-07-16 00:00:00;P-016;72;4
10517;2023-12-17 00:00:00; P-015 ;3;3
10518;2023-05-13 00:00:00;P-006;73;3
10519;2023-12-24 00:00:00;P-009;13;3
10520;2023-09-16 00:00:00;P-007;9;3
10521;23/01/2023;P-014;95;1
10522;2023-02-22 00:00:00;P-011;89;4
10523;14/06/2023; P-016 ;52;1
10524;2023-07-21 00:00:00; P-006 ;62;4
10525;24/03/2023;P-016;8;4
10526;25/05/2023;P-020;95;4
10527;2023-03-26 00:00:00;P-016;45;1
10528;19/03/2023; P-012 ;53;2
10529;01/01/2023;P-017;63;3
10530;2023-02-20 00:00:00; P-005 ;95;2
10531;2023-06-22 00:00:00; P-013 ;81;2
10532;2023-07-24 00:00:00;P-008;57;2
10533;2023-09-17 00:00:00;P-005;54;3
10534;15/10/2023;P-012;19;2
10535;2023-02-03 00:00:00; P-009 ;67;3
10536;14/12/2023;P-003;46;3
10537;2023-04-05 00:00:00;P-003;94;3
10538;2023-03-13 00:00:00;P-001;10;4
10539;2023-02-08 00:00:00;P-018;93;4
10540;2023-06-03 00:00:00;P-012;18;2
10541;2023-09-07 00:00:00;P-009;12;4
10542;11/06/2023;P-009;49;3
10543;2023-04-28 00:00:00; P-018 ;23;4
10544;2023-09-16 00:00:00;P-018;62;3
10545;2023-11-02 00:00:00;P-007;11;1
10546;2023-09-25 00:00:00;P-004;73;4
10547;2023-02-23 00:00:00;P-013;56;2
10548;24/08/2023; P-017 ;88;1
10549;2023-08-10 00:00:00;P-002;89;1
10550;08/09/2023;P-014;55;4
10551;2023-11-09 00:00:00;P-003;25;4
10552;2023-04-22 00:00:00;P-005;9;2
10553;2023-09-12 00:00:00;P-014;12;1
10554;2023-10-30 00:00:00;P-003;11;3
10555;2023-07-26 00:00:00; P-007 ;38;4
10556;17/08/2023;P-018;28;1
10557;07/12/2023;P-013;8;1
10558;2023-03-07 00:00:00; P-010 ;74;3
10559;2023-03-16 00:00:00;P-013;89;1
10560;2023-04-13 00:00:00;P-016;47;4
10561;2023-07-11 00:00:00; P-009 ;36;3
10562;09/09/2023;P-002;50;4
10563;14/08/2023; P-005 ;9;2
10564;2023-10-21 00:00:00;P-017;60;1
10565;2023-11-02 00:00:00;P-004;72;4
10566;2023-04-08 00:00:00; P-017 ;67;4
10567;2023-12-04 00:00:00;P-009;53;2
10568;2023-10-13 00:00:00;P-020;82;1
10569;2023-12-01 00:00:00; P-002 ;99;4
10570;2023-12-13 00:00:00;P-018;17;3
10571;2023-11-04 00:00:00; P-011 ;100;4
10572;2023-09-06 00:00:00;P-013;53;4
10573;2023-06-15 00:00:00; P-008 ;28;4
10574;2023-12-01 00:00:00;P-001;63;4
10575;2023-01-30 00:00:00;P-017;15;1
10576;2023-09-04 00:00:00;P-012;19;4
10577;2023-04-16 00:00:00;P-004;86;2
10578;20/02/2023;P-013;70;4
10579;2023-03-22 00:00:00;P-009;47;3
10580;2023-05-13 00:00:00;P-007;71;3
10581;2023-10-12 00:00:00; P-005 ;48;4
10582;2023-05-18 00:00:00; P-005 ;73;4
10583;2023-07-03 00:00:00;P-017;20;2
10584;2023-11-26 00:00:00;P-009;37;2
10585;2023-09-30 00:00:00;P-006;75;1
10586;2023-12-06 00:00:00;P-019;2;1
10587;10/03/2023;P-016;64;3
10588;2023-02-03 00:00:00;P-002;86;4
10589;2023-09-19 00:00:00;P-010;36;4
10590;2023-02-22 00:00:00;P-016;5;2
10591;2023-07-24 00:00:00;P-005;64;2
10592;06/05/2023;P-015;7;1
10593;2023-08-23 00:00:00;P-013;70;1
10594;12/02/2023;P-013;22;3
10595;2023-08-28 00:00:00; P-013 ;74;2
10596;21/04/2023;P-015;46;4
10597;2023-09-06 00:00:00;P-014;40;2
10598;2023-05-31 00:00:00;P-008;61;2
10599;2023-07-02 00:00:00; P-011 ;46;2
10600;2023-12-02 00:00:00;P-018;84;1
10601;2023-04-05 00:00:00;P-004;28;4
10602;08/01/2023; P-010 ;87;4
10603;2023-12-26 00:00:00;P-001;35;1
10604;2023-07-03 00:00:00;P-005;1;1
10605;2023-10-08 00:00:00; P-013 ;29;4
10606;2023-07-14 00:00:00; P-001 ;9;3
10607;2023-12-18 00:00:00;P-008;9;2
10608;2023-07-14 00:00:00;P-003;22;4
10609;2023-06-04 00:00:00;P-003;63;1
10610;03/04/2023; P-007 ;66;4
10611;2023-06-09 00:00:00;P-004;80;2
10612;2023-03-02 00:00:00;P-003;58;4
10613;2023-05-02 00:00:00; P-015 ;70;1
